#haḷagannaḍa pada sampada, a dictionary of Old Kannada. Data as scraped from Bharatavani.in

ಅ(ಬ್ಬಾ)ಬ್ಬೆ ,(ಅಂಬಾ) ತಾಯಿ
ಕೂಱುಗೊಳ್ ,ತುರುಕಿಕೊ
ಕೂಱೆ ,ಕೊಳಕು ಬಟ್ಟೆ
ಕೂಲ ,ರಾಶಿ; ತೀರ
ಕೂಲ್(ಲು) ,ವಿಗ್ರಹ ಕೂಡಿಸಲು ಇರುವ ಬೆಣೆ; ತುದಿ
ಕೂವಕಂಬ ,ಹಡಗಿನ ಪಟಕಂಬ
ಕೂಷ್ಮಾಂಡ ,ಕುಂಬಳ; ಒಂದು ಪಿಶಾಚಿ
ಕೂಷ್ಮಾಂಡಿ ,ದುರ್ಗೆಯ ಹೆಸರು; (ಜೈನ) ಒಬ್ಬ ಯಕ್ಷಿ
ಕೂಸ ,ಚಿಕ್ಕವನು
ಕೂಸಾಟ ,ಮಕ್ಕಳ ಆಟ
ಕೂಸಾಡಿಸು ,ಮಗುವನ್ನು ಆಡಿಸು
ಕೂಸು ,ಮಗು; ಕನ್ಯೆ; ಹುಡುಗ
ಕೂಸುಗು(ಗೊ)ಡು ,ಹೆಣ್ಣು ಕೊಡು
ಕೂಸುತನ ,ಬಾಲ್ಯ
ಕೂಳೆ ,ಮೀನು ಹಿಡಿಯುವ ಬಲೆ; ಕೀವು
ಕೂಳ್ವುಗು ,ಆಹಾರ ಸೇರು
ಕೂೞ ,(ಖೂಳ) ಮೂರ್ಖ; ನೀಚ
ಕೂೞ ,(ಖೂಳ) ನೀಚ
ಕೂೞ್ ,ಅನ್ನ; ಬಿಸಿಯಾದ; ಕ್ರೂರವಾದ
ಕೂೞ್ಕಮ್ಮಿ ,"ಕ್ರೂರಕರ್ಮಿ, ಕ್ರೂರ ಕೆಲಸ ಮಾಡುವವನು"
ಕೂೞ್ಕು(ೞ್ಗು)ದಿಗೊಳ್ ,ಅನ್ನ ಕುದಿವಂತೆ ಕುದಿ; ತಳಮಳಿಸು
ಕೂೞ್ಗಟ್ಟೆ ,ಅನ್ನ ನೀಡುವ ಕಟ್ಟೆ
ಕೂೞ್ಗುದಿ ,ಅನ್ನ ಕುದಿಯುವಂತೆ ಕುದಿ
ಕೂೞ್ವಡೆ ,"ಕೂೞ್ಪಡೆ, ಆಹಾರ ದೊರಕಿಸಿಕೊ"
ಕೂೞ್ವಣಿಗ ,"ತಿನಾಳಿ, ಕೂಳಬಡಕ"
ಕೂೞ್ವೀಡು ,ಆಹಾರವನ್ನು ಬೇಡು; ಬಿಕ್ಷೆ ಬೇಡು
ಕೃಕರ ,"ಕಕ್ಕರ, ಒಂದು ಬಗೆಯ ನೀರ ಹಕ್ಕಿ"
ಕೃಕವಾಕು ,ಕೋಳಿ
ಕೃಕಾಟಿಕ(ಕೆ) ,ಹೆಕ್ಕತ್ತು
ಕೃಚ್ಛೃ ,ಕಷ್ಟಕರವಾದ; ಪ್ರಯಾಸ; ಕಠಿಣವಾದ ಒಂದು ವ್ರತ
ಕೃತಕ ,ಸ್ವಾಭಾವಿಕವಲ್ಲದ; ಕಪಟ; ನಿರ್ಮಾಣ
ಕೃತಕಗಿರಿ ,ಕೃತಕ ಬೆಟ್ಟ
ಕೃತಕದ್ವಿಜ ,ಕಪಟ ಬ್ರಾಹ್ಮಣ
ಕೃತಕನಗ ,ಕೃತಕಗಿರಿ
ಕೃತಕಪುತ್ರ ,ದತ್ತು ಮಗ
ಕೃತಕಪ್ರಣಯ ,ತೋರಿಕೆಯ ಪ್ರಣಯ
ಕೃತಕಪ್ರತಿಜ್ಞೆ ,ಹೂಡಿರುವ ಪ್ರತಿಜ್ಞೆ
ಕೃತಕರ್ಮ ,ಕರ್ತವ್ಯ ಮಾಡಿದವನು; ಸಮರ್ಥ
ಕೃತಕವಿಷಾದ ,ತೋರಿಕೆಯ ದುಃಖ
ಕೃತಕಶೈಲ ,ಕೃತಕಗಿರಿ
ಕೃತಕಾಚಲ(ಳ) ,ಕೃತಕಗಿರಿ
ಕೃತಕಾದ್ರಿ ,ಕೃತಕಗಿರಿ
ಕೃತಕಿ ,ಮೋಸಗಾರ
ಕೃತಕೃತ್ಯತೆ ,ಕರ್ತವ್ಯ ನಿರ್ವಹಿಸಿದ ಸಮಾಧಾನ
ಕೃತಘ್ನ ,ಉಪಕಾರ ಸ್ಮರಣೆಯಿಲ್ಲದವನು
ಕೃತಘ್ನಭಾವ ,ಕೃತಘ್ನತೆ
ಕೃಂತನ ,"ಭೇದನ, ತುಂಡರಿಸುವುದು"
ಕೃತನಾಶಿ ,ಕೃತಘ್ನ
ಕೃತಪುಂಖ ,ಬಿಲ್ಲು ವಿದ್ಯೆಯನ್ನು ತಿಳಿದವನು
ಕೃತಪುಣ್ಯ ,ಪುಣ್ಯ ಮಾಡಿದವನು
ಕೃತಮತಿ ,ವಿವೇಕಿ; ನಿಶ್ಚಿತಬುದ್ಧಿಯವನು
ಕೃತಯುಗ ,ಚತುರ್ಯುಗಗಳಲ್ಲಿ ಮೊದಲನೆಯದು; ಮಾನವರ ಹದಿನೇಳು ಲಕ್ಷ ಇಪ್ಪತ್ತೆಂಟು ಸಾವಿರ ವರುಷಗಳ ಕಾಲಪ್ರಮಾಣವುಳ್ಳುದು
ಕೃತವಿದ್ಯ ,ವಿದ್ಯೆಯನ್ನು ಚೆನ್ನಾಗಿ ಬಲ್ಲವನು
ಕೃತವೇದಿ ,ಕೃತಜ್ಞ
ಕೃತಹಸ್ತ ,ಬಿಲ್ವಿದ್ಯಾ ನಿಪುಣ
ಕೃತಾಂಜಲಿ ,ಭಕ್ತಿಯಿಂದ ಮುಗಿದ ಕೈಗಳು; `ಮುಟ್ಟಿದರೆ ಮುನಿ’ ಗಿಡ
ಕೃತಾಂತ ,ಯಮ; ಸಿದ್ಧಾಂತ; ಕೊನೆಗಂಡ
ಕೃತಾಂತಗೇಹ ,ಯಮಸದನ
ಕೃತಾಂತಜ ,"ಯಮಸುತ, ಧರ್ಮರಾಯ"
ಕೃತಾಂತಭವನ ,ಕೃತಾಂತಗೇಹ
ಕೃತಾಂತಮರ್ದಕ ,"ಯಮನನ್ನು ಮದಿಸಿದವನು, ಶಿವ"
ಕೃತಾಂತರೂಪ ,ಯಮಸ್ವರೂಪ; ಅಂತ್ಯವುಳ್ಳುದು
ಕೃತಾನುಶಯ ,ಪಶ್ಚಾತ್ತಾಪಗೊಂಡವನು
ಕೃತಾರ್ಥ ,ಕೃತಕೃತ್ಯ; ಸಾರ್ಥಕ
ಕೃತಾರ್ಥವೃತ್ತಿ ,ಕೃತಾರ್ಥನ ಸ್ವಭಾವ
ಕೃತಾರ್ಥಾತ್ಮ ,ಧನ್ಯಾತ್ಮ
ಕೃತಾರ್ಥೀಕೃತ ,ಕೃತಾರ್ಥಗೊಂಡ
ಕೃತಾವದಾನ ,ಶೌರ್ಯದ ಕೆಲಸ ಮಾಡಿದವನು
ಕೃತಾಸ್ತ್ರ ,ಅಸ್ತ್ರವಿದ್ಯೆಯನ್ನು ಚೆನ್ನಾಗಿ ಬಲ್ಲವನು
ಕೃತಿ ,ಕಾರ್ಯ; ಕಾವ್ಯ; ಪೂರ್ತಿಮಾಡಿದ ಕೆಲಸ; ವಿದ್ವಾಂಸ
ಕೃತಿಕರ್ತೃ ,"ಕಾವ್ಯರಚಕ, ಕವಿ"
ಕೃತಿದೋಷ ,ಕಾವ್ಯದೋಷ; ಕೆಲಸದಲ್ಲಿನ ದೋಷ
ಕೃತಿನಾಯಕ ,ಕಾವ್ಯದ ನಾಯಕ
ಕೃತಿನಿಂದಿತ ,ದೋಷಯುಕ್ತವಾದುದು
ಕೃತಿಯುಕ್ತ ,ಕೃತಿಗೆ ಯೋಗ್ಯವಾದ; ಕಾವ್ಯಸಮ್ಮತವಾದ
ಕೃತಿಯುಗ ,ಕಾವ್ಯಜೋಡಿ
ಕೃತಿಲೋಕ ,ವಿದ್ವಾಂಸಸಮೂಹ
ಕೃತಿವೇೞ್ ,"ಕೃತಿಯನ್ನು ಹೇಳು, ಗ್ರಂಥ ರಚಿಸು"
ಕೃತ್ತಕ್ಲೇಶ ,ಕಷ್ಟವನ್ನು ಪರಿಹರಿಸಿದವನು
ಕೃತ್ತಿ ,"ಚರ್ಮ, ಅಜಿನ"
ಕೃತ್ತಿಕೆ ,ಜೊಂದು ನಕ್ಷತ್ರಪುಂಜದ ಹೆಸರು; ವಾಹನ; ಧರ್ಮ
ಕೃತ್ತಿವಸ್ತ್ರ ,ಚರ್ಮದ ಬಟ್ಟೆ
ಕೃತ್ತಿವಾಸ ,ಕೃತ್ತಿವಸ್ತ್ರ
ಕೃತ್ಯಶೇಷ ,ಇನ್ನೂ ಉಳಿದಿರುವ ಕೆಲಸ
ಕೃತ್ಯಾಕೃತ್ಯ ,ಮಾಡಬೇಕಾದ ಹಾಗೂ ಮಾಡಬಾರದ ಕೆಲಸ
ಕೃತ್ರಿಮ ,ಕೃತಕ; ಮೋಸ; ಶೂನ್ಯಮಾಟ; ದತ್ತು ಮಗ
ಕೃತ್ಸ್ನ ,ಸಂಪೂರ್ಣ; ನೀರು; ಹೊಟ್ಟೆ
ಕೃತ್ಸ್ನಕರ್ಮ ,ಪೂರ್ತಿ ಕೆಲಸ
ಕೃತ್ಸ್ನಸುಖ ,ಸಂಪೂರ್ಣಸುಖ
ಕೃದರ ,"ಉಗ್ರಾಣ, ಕಣಜ"
ಕೃಪಣ ,ತುಚ್ಛವಾದ; ವಿವೇಕಹೀನವಾದ; ಜಿಪುಣ
ಕೃಪಾಕರ ,ಕೃಪೆಗೆ ನೆಲೆವನೆಯಾದವನು
ಕೃಪಾಂಗ ,ದಯಾಮಯ
ಕೃಪಾಣ ,ಕತ್ತಿ
ಕೃಪಾಣಿ ,ಕತ್ತರಿ
ಕೃಪಾವತಿ ,ದಯಾವಂತೆ
ಕೃಶಮಧ್ಯೆ ,ತೆಳುವಾದ ಸೊಂಟವುಳ್ಳವಳು
ಕೃಶರಾಗ ,ಪ್ರೀತಿ ಕಡಿಮೆಯಾದವನು
ಕೃಶಶರ ,ದುರ್ಬಲವದ ಬಾಣವುಳ್ಳವನು
ಕೃಶಾನು ,ಅಗ್ನಿ
ಕೃಶಾನುನೇತ್ರ ,"ಬೆಂಕಿ ಕಣ್ಣುಳ್ಳವನು, ಶಿವ"
ಕೃಶಾನುಪೃಷತ್ಕ ,ಬೆಂಕಿಯುಗುಳುವ ಬಾಣ
ಕೃಶಾನುಶಿಖೆ ,ಬೆಂಕಿಯ ಜ್ವಾಲೆ
ಕೃಶಾಶ್ವಿ ,"ನಟ, ನರ್ತಕ"
ಕೃಶೀಕರಣ ,ತೆಳ್ಳಗಾಗಿಸುವಿಕೆ
ಕೃಶೋದರ ,ತೆಳುವಾದ ಹೊಟ್ಟೆಯುಳ್ಳ
ಕೃಷಿ ,ಬೇಸಾಯ
ಕೃಷಿನಿರತ ,"ರೈತ, ಬೇಸಾಯಗಾರ"
ಕೃಷೀವಲ ,"ಕೃಷಿಕ, ರೈತ"
ಕೃಷ್ಟಪಾಕ ,ನರಕದ ದುಃಖ
ಕೃಷ್ಟಿ ,ಎಳೆಯುವುದು; ಆಕರ್ಷಣೆ; ಬಾಸಾಯ; ಪಂಡಿತ
ಕೃಷ್ಟಿಕ್ರಿಯೆ ,(ಜೈನ) ನರಕದುಃಖಕಾರಕ ಕ್ರಿಯೆ
ಕೃಷ್ಣ ,ಕಪ್ಪಾದ; ಕಪ್ಪು ಬಣ್ಣ; ಕೆಟ್ಟ; ವಿಷ್ಣುವಿನ ಎಂಟನೆಯ ಅವತಾರ
ಕೃಷ್ಣಕಥೆ ,ಕೃಷ್ನಚರಿತೆ
ಕೃಷ್ಣಕರ್ಮ ,ಕೆಟ್ಟ ಕೆಲಸ
ಕೃಷ್ಣದ್ವೈಪಾಯನ ,ವ್ಯಾಸ ಮಹರ್ಷಿ
ಕೃಷ್ಣನವಮಿ ,ಕೃಷ್ಣಪಕ್ಷದ ನವಮಿ
ಕೃಷ್ಣಪಕ್ಷ ,ಬಹುಳ; ಪೌರ್ಣಮಿಯ ಮಾರನೇ ದಿನದಿಂದ ಅಮಾವಾಸ್ಯೆಯವರೆಗಿನ ಪಕ್ಷ
ಕೃಷ್ಣಪಾಂಡುರ ,ಕಪ್ಪುಮಿಶ್ರಿತ ಬಿಳಿ ಬಣ್ಣ
ಕೃಷ್ಣಮತಿ ,ಮಲಿನ ಬುದ್ಧಿಯವನು
ಕೃಷ್ಣಮಾರ್ಗ ,ಅಗ್ನಿ
ಕೃಷ್ಣಮೃಗ ,ಕಪ್ಪು ಬಣ್ಣದ ಜಂಕೆ
ಕೃಷ್ಣರುಚಿತ್ವ ,ಕಪ್ಪು ಬಣ್ಣ ಹೊಂದಿರುವಿಕೆ; ಕೃಷ್ಣನಲ್ಲಿ ಪ್ರೀತಿ ಹೊಂದಿರುವುದು
ಕೃಷ್ಣಲೆ ,ಗುಲಗಂಜಿ
ಕೃಷ್ಣಲೇಶ್ಯೆ ,(ಜೈನ) ಆರು ವಿಧವಾದ ಲೇಶ್ಯೆಗಳಲ್ಲೊಂದು; ಕ್ರೋಧ
ಕೃಷ್ಣಲೋಹ ,"ಕರಿಯ ಲೋಹ, ಕಬ್ಬಿಣ"
ಕೃಷ್ಣಲೋಹಿತ ,ಕಡುಗೆಂಪು ಬಣ್ಣದ
ಕೃಷ್ಣವಕ್ತ್ರ ,ಕಪ್ಪುಮುಖವುಳ್ಳ; ಕಪ್ಪುಮುಖ
ಕೃಷ್ಣವರ್ಣ ,ಕಪ್ಪು ಬಣ್ಣ
ಕೃಷ್ಣವರ್ತ್ಮ ,"ಕಪ್ಪು ಹಾದಿಯುಳ್ಳವನು, ಅಗ್ನಿ"
ಕೃಷ್ಣಸರ್ಪ ,ಕರಿನಾಗ
ಕೃಷ್ಣಸಾರ ,ಕಪ್ಪು ಬಣ್ಣದ ಜಿಂಕೆ; ಶ್ರೀಕೃಷ್ಣನ ಶಕ್ತಿ
ಕೃಷ್ಣಾಂಗ ,ಕಪ್ಪು ಮೈ
ಕೃಷ್ಣಾಗರುಧೂಪ ,ಒಂದು ಪರಿಮಳದ್ರವ್ಯ
ಕೃಷ್ಣಾಚರಣ ,ಕೆಟ್ಟ ನಡತೆ
ಕೃಷ್ಣಾಜಿನ ,ಕೃಷ್ಣಮೃಗದ ಧರ್ಮ
ಕೃಷ್ಣಾಂಬರ ,ಕಪ್ಪು ಬಟ್ಟೆ; ದ್ರೌಪದಿಯ ವಸ್ತ್ರ
ಕೃಷ್ಣಾಹಿ ,ಕಾಳಸರ್ಪ
ಕೃಷ್ಣಿಕೆ ,ಕರಿಯ ಸಾಸಿವೆ; ಕಪ್ಪು ಕಲೆ
ಕೃಷ್ಣೆ ,ಅಗ್ನಿಯ ಏಳು ನಾಲಗೆಗಳಲ್ಲೊಂದು; ಹಿಪ್ಪಲಿ; ದ್ರೌಪದಿ
ಕೃಷ್ಣೋರಗ ,ಕಾಳಸರ್ಪ
ಕೃಷ್ಯ ,ಎಳೆಯಲು ಸಾಧ್ಯವಾದ; ಉಳಲು ಸಾಧ್ಯವಾದ; ಬೇಸಾಯಯೋಗ್ಯ ಭೂಮಿ
ಕೆಂಕ ,ಕೆಂಬಣ್ಣ
ಕೆಂಕಲಿ ,ಅಶೋಕವೃಕ್ಷ
ಕೆಂಕಲ್ ,ಒಂದು ಜಾತಿಯ ಮೀನು
ಕೆಂಕೆಲ್ಲಿ ,ಕೆಂಕಲಿ
ಕೆಕ್ಕರಿ(ಕೆ) ,ಒಂದು ಹಣ್ಣು
ಕೆಕ್ಕರೆಗೆರಳು ,ಕೋಪದಿಂದ ಕೆಂಪಾಗು
ಕೆಕ್ಕಳ ,ಕೋಪ
ಕೆಕ್ಕಳಗೆಳರ್(ಲ್) ,ಕೆಕ್ಕರೆಗೆರಳು
ಕೆಕ್ಕಳಿ(ರಿ)ಸು ,ಕೆಂಪೇರು; ಕೋಪಗೊಳ್ಳು
ಕೆಕ್ಕು ,"ಹಸು ಕಾಯುವಾಗ ಕೂಗು, ಗೋಶಿಕ್ಷಾಧ್ವನ; ಕೇಕೆ ಹಾಕು"
ಕೆಂಗಡೆ ,ಜಡ್ಡುಹಿಡಿದು ಕೆಂಪಾದ ಭಾಗ
ಕೆಂಗಣ್ ,ಕೆಂಪಾದ ಕಣ್ಣು; ಕೋಪಗೊಂಡ ಕಣ್ಣು
ಕೆಂಗಣ್ಣಲರ್ವಕ್ಕಿ ,ಕೋಗಿಲೆ
ಕೆಂಗಣ್ವಕ್ಕಿ ,"ಕೆಂಪು ಕಣ್ಣಿನ ಹಕ್ಕಿ, ಕೋಗಿಲೆ"
ಕೆಂಗದಿರ ,ಸೂರ್ಯ
ಕೆಂಗದಿರ್ ,ಕೆಂಪು ಕಿರಣ
ಕೆಂಗಱಿ ,ಕೆಂಪು ಗರಿ
ಕೆಂಗಱೆ ,ಕೆಂಪು ಕರೆ
ಕೆಂಗಲಿಸು ,ಕೆಂಪಾಗು
ಕೆಂಗಲೆ ,ಕೆಂಪು ಗುರುತು
ಕೆಂಗಲೆಗಟ್ಟು ,ಕೆಂಪಾದ ಗುರುತಾಗು
ಕೆಂಗಲೆವಡೆ ,ಕೆಂಪು ಗುರುತನ್ನು ಹೊಂದು
ಕೆಂಗಲ್ಮಸಗು ,ಕಣ್ಣು ಕೆಂಪೇರು; ಕೋಪಗೊಳ್ಳು
ಕೆಂಗವಸಣಿ(ಗೆ) ,ಕೆಂಪು ಹೊದಿಕೆ
ಕೆಂಗೞವೆ ,"ಕೆಂಪು ಅಕ್ಕಿ, ಅದರ ಬತ್ತ"
ಕೆಂಗಾಱೆ ,ಕೆಂಪು ಆಭರಣ (ಅರ್ಥಸಂದಿಗ್ಧತೆಯ ಶಬ್ದ)
ಕೆಂಗಿಡಿ ,ಕೆಂಪು ಕಿಡಿ
ಕೆಂಗಿಡಿಯ ,"ಕೆಂಪು ಕಿಡಿಯುಳ್ಳವನು, ಅಗ್ನಿ"
ಕೆಂಗುಡಿ ,ಕೆಂಪು ಧ್ವಜ; ಕೆಂಪು ಚಿಗುರು; ಹವಳ
ಕೆಂಗೊಡೆ ,ಕೆಂಪು ಬಣ್ಣದ ಕೊಡೆ
ಕೆಂಗೊನರ್ ,ಕೆಂಪಾದ ಚಿಗುರು
ಕೆಂಗೋಲ್ ,ಕೆರಳುವಿಕೆ; ಕೆಂಪುಗರಿಯ ಬಾಣ
ಕೆಂಗೋಲ್ಗೊಳ್ ,"ಕೆರಳು, ಉದ್ರೇಕಗೊಳ್ಳು"
ಕೆಂಗೋಲ್ಮಸಗಿಸು ,ಕೆರಳಿಸು
ಕೆಂಗೋಲ್ಮಸಗು ,ಕೋಪಗೊಳ್ಳು
ಕೆಂಚಂಜೆ ,ಕೆಂಪು ಸಂಜೆ
ಕೆಂಚಣಿಲು ,ಕೆಂಪು ಬಣ್ಣದ ಅಳಿಲು
ಕೆಂಚಿ ,ಚೆಲುವೆ
ಕೆಚ್ಚನೆ ,ಕೆಂಪಾಗಿ
ಕೆಚ್ಚಲ್ ,ಕೆಚ್ಚಲು
ಕೆಚ್ಚೞಿ ,ಶಕ್ತಿಗುಂದು
ಕೆಚ್ಚು ,ದಾರದ ತುದಿಗಳನ್ನು ಸೇರಿಸು; ನೇಯ್ಗೆಯ ಕೆಲಸ; ಕೆಂಪುಬಣ್ಣ
ಕೆಚ್ಚುಗಟ್ಟು ,"ಗಟ್ಟಿಯಾಗು, ದೃಢವಾಗು"
ಕೆಚ್ಚುವಿರ್ ,ಚೆನ್ನಾಗಿ ಅಂಟಿಕೊಳ್ಳು
ಕೆಚ್ಚುವೀೞ್ ,"ಕೂಡಿಕೊಂಡಿರು, ಹೆಣೆದುಕೊಂಡಿರು"
ಕೆಚ್ಚೇಱು ,"ಹೆಚ್ಚಾಗು, ಅಧಿಕವಾಗು"
ಕೆಂಜ(ಜೆ)ಡೆ ,ಕೆಂಪು ಜಡೆ
ಕೆಂಜಾಜಿ ,ಕೆಂಪು ಜಾಜಿ
ಕೆಂಜಿಗುರ್ ,ಕೆಂಪು ಚಿಗುರು
ಕೆಂಜಿಗೆ ,ಕೆಂಪು ಇರುವೆ
ಕೆಂಜೆಡೆದುಱುಗಲ್ ,ಕೆಂಜಡೆಗಳ ಸಮೂಹ
ಕೆಟ್ಟಾಡು ,ಕೆಟ್ಟತನದಿಂದ ನಡೆದುಕೋ
ಕೆಂಡ ,"ಉರಿಯುವ ಇದ್ದಿಲು, ಇಂಗಳ"
ಕೆಡಪು ,"ಕೆಡವು, ಪತನ"
ಕೆಂಡವೞೆ ,ಕೆಂಡದ ಮಳೆ
ಕೆಡಿಸು ,"ಕಿಡಿಸು, ಹಾಳುಮಾಡು; ನಂದಿಸು; ಶೀಲಭಂಗಮಾಡು"
ಕೆಡು ,"ಹಾಳಾಗು, ನಾಶವಾಗು; ಅಳಿಸಿಹೋಗು; ನಿವಾರಣೆಯಾಗು; ದುರ್ಗತಿತೀಡಾಗು; ಚೆದುರಿ ಹೋಗು; ಕೈಮೀರು; ದುಷ್ಟನಾಗು; ಅಪವಿತ್ರನಾಗು; ಮರಣಹೊಂದು; ವಿನಾಶ; ಹದಗೆಡು"
ಕೆಡುಕಿ ,ಕೆಟ್ಟ ಹೆಂಗಸು
ಕೆಡುವೊಡಲ್ ,ನಾಶಗೊಳ್ಳುವ ದೇಹ
ಕೆಡೆ ,ಬೀಳು; ಮಲಗು; ಬಾಯಿಗೆ ಬಂದಂತೆ ಗಳಹು
ಕೆಡೆನುಡಿ ,"ಕೆಟ್ಟ ಮಾತಾಡು; ಬೈಗುಳ, ದೂಷಣೆ"
ಕೆಡೆನೂಂಕು ,"ತಳ್ಳು, ಬೀಳುವಂತೆ ನೂಕು"
ಕೆಡೆಮೆಟ್ಟು ,ಮೆಟ್ಟಿ ತುಳಿ
ಕೆಡೆಯಿಕ್ಕು ,ಬೀಳಿಸು
ಕೆಡೆಯೆಸು ,ಬೀಳುವಂತೆ ಹೊಡೆ
ಕೆಡೆವೊಯ್ ,ಬೀಳುವಂತೆ ಹೊಡೆ
ಕೆಣಕು ,ರೇಗಿಸು
ಕೆತ್ತಣ ,ಕೆತ್ತನೆ; ಕುಂದಣಗೆಲಸ
ಕೆತ್ತಿಸು ,ಕೊರೆಯಿಸು
ಕೆತ್ತು ,"ಅದಿರು, ಮಿಡುಕು; ಸ್ಪಂದನ; ಮೇಲ್ಭಾಗವನ್ನು ಸೀಳು"
ಕೆತ್ತುಗುಂದು ,ನಡುಕ ನಿಲ್ಲು; ಸ್ಪಂದನವಿಲ್ಲದಿರು
ಕೆದಕು ,"ಬೆದಕು, ನೆಲವನ್ನು ಅಗೆ"
ಕೆಂದಟ್ಟಿ ,ಕೆಂಪು ಬಣ್ಣದ ಬಟ್ಟೆ
ಕೆದಱಿಸು ,ಚೆದುರಿಸು; ಹರಡು; ಚೆಲ್ಲಾಪಿಲ್ಲಿಯಾಗಿಸು
ಕೆದಱೇೞ್ ,ಚೆದುರಿ ಮೇಲಕ್ಕೇಳು
ಕೆದಱ್(ಱು) ,"ಕೆದರು, ಚೆದುರು; ಒದರು"
ಕೆಂದಳ ,ಕೆಂಪಾದ ಕೈ; ಕೆಂಪಾದ ಎಸಳು
ಕೆಂದಳಿರ್ ,ಕೆಂಪು ಚಿಗುರು
ಕೆಂದಳಿರ್ಮಾವು ,ಕೆಂಪು ಚಿಗುರಿನಿಂದ ಕೂಡಿದ ಮಾವು
ಕೆಂದಳಿರ್ವಸೆ ,ಕೆಂಪು ಚಿಗುರಿನ ಹಾಸಿಗೆ
ಕೆಂದಳಿರ್ವಾಸು ,ಕೆಂದಳಿರ್ವಸೆ
ಕೆಂದಾಮ(ವ)ರೆ ,ಕೆಂಪು ತಾವರೆ
ಕೆಂದಾವರೆಗೊಳ ,ಕೆಂಪು ತಾವರೆಗಳಿರುವ ಕೊಳ
ಕೆಂದು ,"ಅನುರಾಗ, ರತಿ; ಆತುಕೊಳ್ಳು, ಆಶ್ರಯಿಸು"
ಕೆಂದೇೞ್ ,ಕೆಂಪು ಚೇಳು
ಕೆನೆ ,ಕುದುರೆಯಂತೆ ಹೇಕರಿಸು; ಹೇಷಾರವ ಮಾಡು; ಹಾಲಿನ ಸಾರಭಾಗ
ಕೆನೆಗೊಳ್ ,ಕೆನೆಗಟ್ಟು
ಕೆನ್ನಂ ,ಹೆಚ್ಚಾಗಿ; ವೆಗ್ಗಳವಾಗಿ; ವ್ಯರ್ಥವಾಗಿ
ಕೆನ್ನಗಸೆ ,ಕೆಂಪು ಅಗಸೆ
ಕೆನ್ನನೆ ,ಸುಮ್ಮನೆ
ಕೆನ್ನವಿರ್ ,ಕೆಂಪು ಕೂದಲು
ಕೆನ್ನಿಱಿಮುಗಿಲ್ ,ಕೆಂಪಾದ ಪದರುಪದರು ಮೋಡ
ಕೆನ್ನೀರ್ ,ಕೆಂಪು ನೀರು; ರಕ್ತ
ಕೆನ್ನುರಿ ,ಕೆಂಪಾದ ಉರಿ
ಕೆನ್ನೆ ,ಕಪೋಲ
ಕೆನ್ನೆತ್ತರ್ ,ಕೆಂಪು ರಕ್ತ
ಕೆಂಪಡರ್ ,"ಕೆಂಪಬಣ್ಣ ಆವರಿಸು, ಕೆಂಪೇರು"
ಕೆಂಪಡಸು ,ಕೆಂಪಡರ್
ಕೆಂಪಳಸು ,ಕೆಂಪೇರು
ಕೆಂಪಿಡಿ ,ಕೆಂಪಾಗು
ಕೆಂಪು ,ಕೆಂಪು ಬಣ್ಣ; ತಾಮ್ರ; ಮಾಣಿಕ್ಯ
ಕೆಂಪುವೀಱು ,ಕೆಂಪು ಬಣ್ಣವನ್ನು ಬೀರು
ಕೆಂಪೆಸೆ ,"ಕೆಂಪನ್ನು ಬೀರು, ಕೆಂಪಗೆ ಹೊಳೆ"
ಕೆಂಪೇಱು ,ಕೆಂಪಗಾಗು
ಕೆಂಪೊಡರಿಸು ,ಕೆಂಪಾಗು
ಕೆಂಪೊದವು ,ಕೆಂಪಗಾಗು
ಕೆಂಬಟ್ಟೆ ,"ಕೆಂಪು ಬಟ್ಟೆ, ಕೆಂಪು ವಸ್ತ್ರ"
ಕೆಂಬಣ್ಣ ,ಕೆಂಪು ಬಣ್ಣ
ಕೆಂಬರಲೋಲೆ ,ಕೆಂಪು ಹರಳಿನ ಓಲೆ
ಕೆಂಬರಲ್ ,"ಕೆಂಪು ಹರಳು, ಮಾಣಿಕ್ಯ, ಪದ್ಮರಾಗ"
ಕೆಂಬಲಗೆ ,ಕೆಂಪು ಗುರಾಣಿ
ಕೆಂಬಲ್ ,ಕೆಂಪು ಹಲ್ಲು
ಕೆಂಬಸದನ ,ಕೆಂಪು ಬಣ್ಣದ ವೇಷ
ಕೆಂಬೞವಿಗೆ ,ಕೆಂಪು ಬಾವುಟ
ಕೆಂಬಿಸಿಲ್ ,ಕೆಂಪು ಬಣ್ಣದ ಬಿಸಿಲು
ಕೆಂಬಿೞ್ತು ,ಕೆಂಪು ಬೀಜ
ಕೆಂಬುೞು ,ಮಿಂಚುಹುಳು
ಕೆಂಬೆಱು ,ಕೆಂಪು ಬಣ್ಣವನ್ನು ಪಡೆ
ಕೆಂಬೆಳಗು ,ಕೆಂಪು ಬೆಳಕು
ಕೆಂಬೊನ್ ,ಚಿನ್ನ
ಕೆಂಬೊಳಪು ,ಕೆಂಪಾದ ಹೊಳಪು
ಕೆಮ್ಮಗೆ ,ಸುಮ್ಮನೆ ; ಮೌನವಾಗಿ
ಕೆಮ್ಮಡ ,ಕೆಂಪಾದ ಹಿಮ್ಮಡಿ
ಕೆಮ್ಮಣ್ ,ಕೆಂಪು ಮಣ್ಣು
