#jānapada vastukośa, a dictionary of objects used in rural Karnataka. Data as scraped from Bharatavani.in

ಡೊಪ್ಪಿ ಉಚ್ಚೋಡು,"ಬಾಗಿಲ ತೋಳು ಕಿಟಿಕಿಗಳ ಪಟ್ಟಿ ಮುಂತಾದ ವಸ್ತುಗಳಿಗೆ ಆಲಂಕಾರಿಕ ಗೆರೆ ಹಾಕಲು ಬಳಸುವ ವಸ್ತು. ಇದರ ಉದ್ದ ಸುಮಾರು ಏಳೂವರೆ ಇಂಚು, ಎತ್ತರ ಎರಡೂವರೆ ಇಂಚು, ಅಗಲ ಒಂದೂವರೆ ಇಂಚು. ಇದು ಉಚ್ಚೋಡು ರೀತಿಯಲ್ಲಿದೆ. ಆದರೆ ಗಾತ್ರದಲ್ಲಿ ಚಿಕ್ಕದು. ಇದರ ಮಧ್ಯಭಾಗದಲ್ಲಿ ಗೀಟು ಕೊರೆಯುವ ಲೋಹದ ವಸ್ತುವಾಗಿದೆ. ಇದನ್ನು ಅಳತೆಗೆ ತಕ್ಕಂತೆ ಗೀಟು/ಗೆರೆ ಕೊರೆಯಲು ಅನುಕೂಲವಾಗುವಂತೆ ಹೊಂದಿಸಿಕೊಳ್ಳಬಹುದು. ಬಾಗಿಲ ತೋಳು, ತಟ್ಟಿ, ತಲೆಪಟ್ಟಿ ಬಾಗಿಲು ಎತ್ತಿನ ಗಾಡಿಯ ಪಟ್ಟಿ ಮುಂತಾದವುಗಳಿಗೆ ಆಲಂಕಾರಿಕ ಗೆರೆ ಹಾಕಿಕೊಳ್ಳಲು ಬಳಸುತ್ತಾರೆ."
ಡೊಳ್ಳಿನ ಪಡಗ,"ಕರ್ನಾಟಕ ಜನಪದ ವಾದ್ಯಗಳಲ್ಲಿ ಹೆಚ್ಚು ಪ್ರಚಲಿತವಾಗಿರುವ ಒಂದು ವಾದ್ಯ-ಡೊಳ್ಳು. ಇದು ಮೂಲತಃ ಒಂದು ಧಾರ್ಮಿಕ ವಾದ್ಯ. ಆತೋದ್ಯವಾದ್ಯ ವಿಭಾಗಕ್ಕೆ ಸೇರಿದ್ದು. ಹಾಲುಮತ ಸಮುದಾಯದವರು ಇದನ್ನು ತಮ್ಮ ಕುಲವಾದ್ಯವೆಂದು ಪರಿಗಣಿಸುತ್ತಾರೆ. ಬೀರಪ್ಪ, ಮಾಲಿಂಗರಾಯ, ಮಾಯವ್ವ, ಅಮೋಘಸಿದ್ಧ, ರೇವಣಸಿದ್ಧ ಮುಂತಾದ ದೈವಗಳ ಆರಾಧನೆಯಲ್ಲಿ ಇದು ಬಳಕೆಯಾಗುತ್ತದೆ. ಗ್ರಾಮದ ಪ್ರತಿಯೊಂದು ಮಂಗಳ ಕಾರ್‍ಯಕ್ಕೂ ಇದು ಅತ್ಯಗತ್ಯವೆಂದು ಪರಿಗಣಿತವಾಗಿದೆ. ಸುಮಾರು ಅರ್ಧ ಅಂಗುಲ ದಪ್ಪದ ಒಂದೂವರೆ ಅಥವಾ ಎರಡು ಅಡಿ ವ್ಯಾಸದ ಮರದ ತುಂಡನ್ನು ಸಿಲಿಂಡರ್ ಆಕಾರದಲ್ಲಿ ಕೊರೆಯಲಾಗುತ್ತದೆ. ವು, ಹೊನ್ನೆ, ಮಾವು, ಹೆಬ್ಬೇವು, ಹಲಸು, ಹೆಬ್ಬಲಸು, ಶಿವನೆ ಇತ್ಯಾದಿ ಮರಗಳಿಂದ ಪಡಗಗಳನ್ನು ತಯಾರಿಸುತ್ತಾರೆ."
ಡೋಣಿ,"ಮೈಲಾರಲಿಂಗನ ಆರಾಧಕರಾದ ಗೊರವಯ್ಯಗಳು ಆಹಾರ ಭಿಕ್ಷೆಯನ್ನು ಸ್ವೀಕರಿಸುವುದಕ್ಕೆ ಬಳಸುವ ವಿಶಿಷ್ಟಪಾತ್ರೆ. ಇದು ಸುಮಾರು ಎರಡು ಇಂಚು ಉದ್ದ, ಆರು ಇಂಚು ಅಗಲ, ಐದು ಇಂಚು ಎತ್ತರದ ದೋಣಿಯಾಕಾರದ ಪಾತ್ರೆ. ಇದರ ತಳಭಾಗವು ಚಪ್ಪಟೆಯಾಗಿದ್ದು ಡೋಣಿಯು ಮೇಲಕ್ಕೆ ಹೋದಂತೆ ಅಗಲವಾಗುತ್ತ ಹೋಗುತ್ತದೆ. ಹಗುರವಾದ ಇಂಗಳಾರದಂಥ ಮರದ ತುಂಡನ್ನು ಕೊರೆದು ಇದಕ್ಕೆ ನಿರ್ದಿಷ್ಟ ರೂಪ ಕೊಡುತ್ತಾರೆ. ನಿತ್ಯ ಸಂಚಾರ ಮಾಡುತ್ತ ಭಿಕ್ಷೆಗೆ ಗೊರವರು ತೆರಳಿದಾಗ ಭಕ್ತರು ನೀಡುವ ಆಹಾರ ಭಿಕ್ಷೆಯನ್ನು ಅವರು ಈ ಪಾತ್ರೆಯಲ್ಲಿಯೇ ಸ್ವೀಕರಿಸಿ, ಇದೇ ಪಾತ್ರೆಯಲ್ಲಿಯೇ ಉಣ್ಣುತ್ತಾರೆ. ಉಂಡ ಬಳಿಕ ತೊಳೆದು ಒಣಗಿಸಿಕೊಳ್ಳುತ್ತಾರೆ. ಮೈಲಾರಲಿಂಗನ ಜಾತ್ರೆಯಲ್ಲಿ, ಹುಣ್ಣಿಮೆ ಅಮವಾಸ್ಯೆಯಂಥ ಪರ್ವದಿನಗಳಲ್ಲಿ ಭಾನುವಾರ, ಸೋಮವಾರಗಳಂಥ ದಿನಗಳಲ್ಲಿ ಗೊರವರು ಮೈಲಾರ ದೇವಾಲಯದ ಆವರಣದಲ್ಲಿ ಪ್ರಸಾದ ಸ್ವೀಕಾರಕ್ಕಾಗಿ ಡೋಣಿಯನ್ನು ಇಟ್ಟು ಕುಳಿತುಕೊಳ್ಳುತ್ತಾರೆ. ಹಣ್ಣು ತುಪ್ಪದ ಆಚರಣೆಯೆಂಬ ಆಚರಣೆಯಲ್ಲಿ ಭಕ್ತರು ಗೊರವರಿಗೆ ಬಾಳೆಹಣ್ಣು, ತುಪ್ಪ, ಬೆಲ್ಲ, ಸಕ್ಕರೆ ಮುಂತಾದವುನ್ನು ಮಿಶ್ರಮಾಡಿ ಇದೇ ಪಾತ್ರೆಗೆ ನೀಡುತ್ತಾರೆ. ಮೈಲಾರಲಿಂಗನ ಪರಿವಾರವಾದ ನಾಯಿಯು ತಿನ್ನುವಂತೆ ಗೊರವರು ಕೂಡ ಈ ಡೋಣಿಯಲ್ಲಿ ಆಹಾರ ಸ್ವೀಕರಿಸುವ ಆಚರಣೆಯು ಮೈಲಾರಲಿಂಗನ ಜಾತ್ರೆಯಲ್ಲಿ ನಡೆಯುತ್ತದೆ. ಕಂಚಿನ ಡೋನಿಗಳು ಬಂದ ಬಳಿಕ ಮರದ ಡೋಣಿಗಳು ಮರೆಯಾಗುತ್ತಿವೆ."
ತಟ್ಟುಳಿ,"ಮರದ ತುಂಡುಗಳನ್ನು ನಿಗದಿತ ಸ್ಥಳದಲ್ಲಿ ಜೋಡಿಸಲು ಅಗತ್ಯವಾದ ರಂಧ್ರ ಮಾಡಿಕೊಳ್ಳಲು ಬಳಸುವ ಸಾಧನ. ಇದು ಸುಮಾರು ಹನ್ನೊಂದು ಇಂಚು ಉದ್ದವಿದ್ದು ಇದರಲ್ಲಿ ಹಿಡಿಕೆಯ ಉದ್ದ ನಾಲ್ಕೂವರೆ ಇಂಚು, ನಾಲ್ಕು ಇಂಚು ದಪ್ಪವಿರುತ್ತದೆ. ಉಳಿಯ ತಗಡಿನ ಅಗಲ ಎರಡು ಇಂಚು ಇರುತ್ತದೆ. ತುದಿ ಹರಿತವಾಗಿರುತ್ತದೆ."
ತತ್ರಾಣಿ,"ಕುಡಿಯುವ ನೀರು ಹಾಕಿಡಲು ಬಳಸುವ ಮಣ್ಣಿನ ಸಾಧನ. ಇದನ್ನು ಹೊಲಗಳಲ್ಲಿ ಕೆಲಸ ಮಾಡುವಾಗ ಕುಡಿಯುವ ನೀರಿನ ಅಗತ್ಯವನ್ನು ಪೂರೈಸಿಕೊಳ್ಳುವುದಕ್ಕೆ ಬಳಸಿಕೊಳ್ಳುತ್ತಾರೆ. ತತ್ರಾಣಿಯು ಚಿಕ್ಕದಾಗಿದ್ದರೆ ಅದರ ಕುತ್ತಿಗೆಯ ಭಾಗಕ್ಕೆ ಹಗ್ಗ ಹಾಕಿ ಒಯ್ಯುಬಹುದು. ದೊಡ್ಡದಾಗಿದ್ದರೆ ಹಾಗೆ ಮಾಡಿದಾಗ ತತ್ರಾಣಿಯ ಮೇಲ್ಭಾಗವು ಕಿತ್ತುಕೊಳ್ಳುವ ಅಪಾಯವಿರುವುದರಿಂದ ಅದರ ಸುತ್ತಲೂ ಲಂಬವಾಗಿ ಹಗ್ಗವನ್ನು ಆಧಾರವಾಗಿ ಹಾಕಿಕೊಳ್ಳಲು ಪುಟ್ಟ ಓಣಿಯಂಥ ರಚನೆ ಇರುತ್ತದೆ.
ತತ್ರಾಣಿಯನ್ನು ಬಗಲ್ಲಿ ಹಾಕಿಕೊಂಡು ಒಯ್ಯವುದು ರೂಢಿ. ನೀರು ವ್ಯರ್ಥವಾಗದಂತೆ ಸರಿದುಕೊಳ್ಳಲು ತತ್ರಾಣಿಯ ಬಾಯಿಯ ಬಳಿ ಸಣ್ಣ ಕೊಳವೆಯಥ ರಚನೆ ಇದೆ. ಅದನ್ನು ಮುಚ್ಚಲು ಬೆಣೆ ಕೂಡ ಇರುತ್ತದೆ. ತತ್ರಾಣಿಯು ಆವೆ ಮಣ್ಣಿನಿಂದ ತಯಾರಾಗುವುದರಿಂದ ಅದರಲ್ಲಿ ಹಾಕಿಟ್ಟ ನೀರು ತಂಪಾಗಿರುತ್ತದೆ. ಪ್ಲಾಸ್ಟಿಕ್‌ಕ್ಯಾನ್, ವಾಟರ್‌ಬಾಟಲ್‌ಗಳು ತತ್ರಾಣಿಯ ಸ್ಥಾನವನ್ನು ಆಕ್ರಮಿಸಿರುವುದಾದರೂ ಅದರ ಗುಣಮಟ್ಟವನ್ನು ತಲುಪಲು ಸಾಧ್ಯವಾಗಿಲ್ಲ."
ತತ್ರಾಣಿ,ಕುಡಿಯುವ ನೀರು ಹಾಕಿಡಲು ಬಳಸುವ ಮಣ್ಣಿನ ಸಾಧನ. ಇದನ್ನು ಹೊಲಗಳಲ್ಲಿ ಕೆಲಸ ಮಾಡುವಾಗ ಕುಡಿಯುವ ನೀರಿನ ಅಗತ್ಯವನ್ನು ಪೂರೈಸಿಕೊಳ್ಳುವುದಕ್ಕೆ ಬಳಸಿಕೊಳ್ಳುತ್ತಾರೆ. ಇಂತಹ ವಸ್ತುವನ್ನು ಮಕ್ಕಳು ಆಟಿಕೆಗಾಗಿ ಬಳಸುತ್ತಾರೆ. ಇದು ಅತ್ಯಂತ ಕಿರಿದಾಗಿರುತ್ತದೆ.
ತವೆ/ಹೆಂಚು,"ರೊಟ್ಟಿ ಬೇಯಿಸಲು ಬಳಸುವ ಲೋಹದ ಸಾಧನ. ಇದರ ವ್ಯಾಸ ಸುಮಾರು ಒಂಭತ್ತು ಇಂಚು ತೆಳುವಾಗಿದೆ. ಇದು ಸುಮಾರಾಗಿ ತೆಪ್ಪದ ಆಕಾರದಲ್ಲಿರುತ್ತದೆ. ದನಿಯಾ, ಮೆಣಸಿನಕಾಯಿ, ಕಡಲೆಬೀಜ ಇತ್ಯಾದಿಗಳನ್ನು ಹುರಿಯಲು ಕೂಡ ಬಳಕೆಯಾಗುತ್ತದೆ. ತವೆಗಳ ಗಾತ್ರದಲ್ಲಿ ವ್ಯತ್ಯಾಸವಿದೆ. ಲೋಹದಿಂದ ಕೂಡ ತವೆಗಳನ್ನು ನಿರ್ಮಿಸುತ್ತಾರೆ."
ತಾಬಂಡಿ,"ಊಟ ಮಾಡಲು ಜನಪದರು ಬಳಸುವ ತಟ್ಟೆ. ಇದು ಸಾಮಾನ್ಯ ತಾಟು/ಬಟ್ಟಲುಗಳಿಗಿಂತ ದೊಡ್ಡ ಗಾತ್ರದಲ್ಲಿದೆ. ತಳದಿಂದ ಮೇಲೇಳುವ ಅಂಚು ಅನುಕ್ರಮವಾಗಿ ತುಸು ಹೊರಕ್ಕೆ, ನೇರವಾಗಿ ಮತ್ತು ತುಸು ಒಳಕ್ಕೆ ಬಾಗಿರುತ್ತದೆ. ಏನಿದ್ದರೂ ಈ ಅಂಚು ಸುಮಾರು ಒಂದೂವರೆ ಇಂಚಷ್ಟೆ ಇದೆ. ತಾಬಂಡಿಗಳ ಗಾತ್ರದಲ್ಲಿ ವ್ಯತ್ಯಾಸಗಳಿವೆ, ಸಹಜವಾಗಿ ತೂಕದಲ್ಲೂ. ಸಾಮಾನ್ಯ ತಾಬಂಡಿ ಸುಮಾರು ಒಂದು ಕೆ.ಜಿ. ಭಾರವಿರುತ್ತದೆ. ತಾಬಂಡಿಯನ್ನು ದಪ್ಪ ಕಂಚಿನ ತಗಡಿನಿಂದ ನಿರ್ಮಿಸಲಾಗಿರುತ್ತದೆ. ಇದನ್ನು ಬಳಸಿ ಊಟ ಮಾಡುವುದು ಆರೋಗ್ಯದಾಯಕವೆಂಬುದು ಜನಪದರ ಅನುಭವ. ಅಡ್ಡಣಿಗೆಯ ಮೇಲೆ ತಾಬಂಡಿಯನ್ನು ಇರಿಸಿಕೊಂಡು ಊಟ ಮಾಡುವುದೇ ಜನಪದರಿಗೆ ಸಂತೃಪ್ತಿಯ ಒಂದು ವಿಚಾರ."
ತಾಳ,"ತಾಳವನ್ನು ಸಾಮಾನ್ಯವಾಗಿ ಭಜನೆ ಸಂದರ್ಭಗಳಲ್ಲಿ ಸಂಗೀತ ಸಾಧನವಾಗಿ ಬಳಸಲಾಗುತ್ತದೆ. ಯಕ್ಷಗಾನ, ದೊಡ್ಡಾಟಗಳ ಭಾಗವತರು ಕೂಡ ಇಂಥ ತಾಳಗಳನ್ನು ಬಾರಿಸುತ್ತ ಭಾಗವತಿಕೆ ಮಾಡುತ್ತಾರೆ. ಹಿತ್ತಾಳೆ ಅಥವಾ ಕಂಚಿನಿಂದ ತಯಾರಿಸಲಾಗುವ ಈ ತಾಳಗಳು ವೃತ್ತಾಕಾರದಲ್ಲಿರುತ್ತವೆ. ಮಧ್ಯದಲ್ಲಿ ರಂಧ್ರವಿರುತ್ತವೆ. ಅವುಗಳಿಗೆ ಹಗ್ಗಗಳನ್ನು ಪೋಣಿಸಿಕೊಳ್ಳುತ್ತಾರೆ. ತಾಳವೆಂದರೆ ಜೋಡಿಯಾಗಿ ಗುರುತಿಸಲಾಗುತ್ತಿದೆಯೇ ಹೊರತು ಏಕವಸ್ತುವಾಗಿ ಅಲ್ಲ. ಇವುಗಳಿಗೆ ಹಿಡಿಕೆಯಾಗಿ ಹಗ್ಗವನ್ನು ಹಾಕಲಾಗಿರುತ್ತದೆ."
ತಿಗರಿ,"ಕುಂಬಾರರು ಗಡಿಗೆ/ಪಾತ್ರೆ ತಯಾರಿ ಮಾಡುವ ಸಂದರ್ಭದಲ್ಲಿ ಬಳಸುವ ಸಾಧನ. ಇದು ಚಕ್ಕಡಿ ಗಾಲಿಯಂತಿದ್ದು ಗಾಲಿಯ ಗಡ್ಡೆಯ ಮಧ್ಯಭಾಗದಲ್ಲಿ ಒಂದು ಚಿಕ್ಕ ರಂಧ್ರವಿರುತ್ತದೆ. ಈ ರಂಧ್ರವನ್ನು ಗಾಲಿಯ ತಿರುಗುವಿಕೆಗೆ ಅನುಕೂಲವಾಗುವಂತೆ ಅಳವಡಿಸಲಾಗುತ್ತದೆ. ಗಡಿಗೆ ಮಾಡುವ ಸಂದರ್ಭದಲ್ಲಿ ಗಡಿಗೆ ತಯಾರಕ ಇದರ ಎದುರುಗಡೆ ಕುಳಿತುಕೊಂಡು ಮಧ್ಯಭಾಗದ ರಂಧ್ರದಲ್ಲಿ ಒಂದು ನಯವಾದ ಕೋಲಿನಿಂದ ತಿಗರಿಯನ್ನು ಗಡಿಗೆ ರಚನೆಗೆ ಅನುಕೂಲವಾಗುವಂತೆ ನಿಧಾನವಾಗಿ ಅಥವಾ ವೇಗವಾಗಿ ತಿರುಗಿಸಿಕೊಳ್ಳುತ್ತಾನೆ.
ತಿಗರಿ ತಿರುಗುವಾಗ ಹದಗೊಳಿಸಿದ ಅರ್ಲುಮುದ್ದೆ/ಮಣ್ಣಿನ ಮುದ್ದೆಯನ್ನು ತಿಗರಿಯ ಮಧ್ಯಭಾಗದ ಗಡ್ಡೆಯ ಮೇಲಿಟ್ಟು ತನ್ನ ಕೈಚಳಕದಿಂದ ತನಗೆ ಬೇಕಾದ ಆಕಾರದಲ್ಲಿ ಮಡಕೆಗೆ ರೂಪಕೊಡುತ್ತಾನೆ. ನಡುನಡುವೆ ತಿಗರಿಯ ವೇಗ ಕಡಿಮೆಯಾದಾಗ ಮಡಕೆ ತಯಾರಕನು ತಿಗರಿಯು ತಿರುಗಿಸುತ್ತ ಇರುವಾಗಲೇ ಗಡಿಗೆ ಪಾತ್ರೆಯನ್ನು ನಿರೀಕ್ಷಿತ ಆಕೃತಿಗೆ ತರುತ್ತಾನೆ. ಬಳಿಕ ಗಡಿಗೆ, ತಿಗರಿಗೆ ಅಂಟಿಕೊಂಡ ಪಾತ್ರೆಯನ್ನು ದಾರದಿಂದ ಕತ್ತರಿಸಿ ಬೇರ್ಪಡಿಸಿ ಪಕ್ಕದಲ್ಲಿ ಸಜ್ಜುಗೊಳಿಸಲಾದ ಹಾಸಿದ ಬೂದಿಯ ಮೇಲೆ ಇರಿಸುತ್ತಾನೆ.
ತಿಗರಿಯನ್ನು ಕಟ್ಟಿಗೆ/ಮರ ಮತ್ತು ಮಣ್ಣಿನಿಂದ ತಯಾರಿಸುತ್ತಾರೆ. ತಿಗರಿಯ ನಡುವಿನ ದಪ್ಪಗಾತ್ರದ ಗಡ್ಡೆಯು ಮರದ್ದಾಗಿದ್ದು ಅದಕ್ಕೆ ಸ್ವಲ್ಪ ಸ್ವಲ್ಪ ಅಂತರದಲ್ಲಿ ಜೋಡಿಸಲಾಗುವ ಹಲ್ಲು/ಎಲೆಗಳೂ ಮರದ್ದೇ ಆಗಿವೆ. ಒಳಗೆ ಬಳ್ಳಿಗಳನ್ನು ಸುತ್ತಿ ಮಣ್ಣು ಲೇಪನ ಮಾಡಿ ಹೊರಗಿನ ಸುತ್ತಿನ ಚಕ್ರವನ್ನು ಕೆಲವರು ತಯಾರಿಸಿಕೊಂಡಿರುತ್ತಾರೆ. ಇವತ್ತಿನ ಕುಂಬಾರಿಕೆ ಸಣ್ಣ ಸಣ್ಣ ಪಾತ್ರೆಗಳ ತಯಾರಿಕೆಗೆ ಸೀಮಿತವಾಗಿರುವುದರಿಂದ ಹಾಗೂ ಮಹಿಳೆಯರು ಪಾತ್ರೆ ತಯಾರಿಸಿಕೊಳ್ಳುವುದಕ್ಕೆ ಸೀಮಿತವಾಗಿರುವುದರಿಂದ ಈಗ ಇದರ ಬಳಕೆ ಕಡಿಮೆಯಾಗಿದೆ. ತಿಗರಿಯು ಕುಲಾಲಚಕ್ರವೆಂಬ ಹೆಸರಿನಿಂದ ಕಾಲಗತಿಯ ಸಂಕೇತವಾಗಿ ಪರಿಗಣಿತವಾಗಿದೆ."
ತಿದಿ,"ಕಮ್ಮಾರರು ಕಬ್ಬಿಣದ ಉಪಕರಣಗಳನ್ನು ತಯಾರಿಸುವಾಗ ಅವುಗಳ ಭಾಗಗಳನ್ನು ಬೆಂಕಿಯಲ್ಲಿ ಕಾಯಿಸಲು, ಕೆಂಡಗಳು ಚೆನ್ನಾಗಿ ಉರಿಯುವಂತೆ ಗಾಳಿ ಹಾಕಿಕೊಳ್ಳಲು ಬಳಸುವ ಉಪಕರಣ. ತಿದಿಯು ನಾಲ್ಕು ಅಡಿ ಉದ್ದ ಎರಡು ಅಡಿ ಅಗಲವಿದೆ. ಮೇಲ್ಭಾಗ ಮತ್ತು ಕೆಳಭಾಗಕ್ಕೆ ಮರದ ತೆಳು ಹಲಗೆಗಳನ್ನು ಜೋಡಿಸಿ ಹಿಂದಿನ ಭಾಗಕ್ಕೆ ಎಮ್ಮೆಯ ಚರ್ಮದಿಂದ ಬಿಗಿಯಲಾಗುತ್ತದೆ. ಕೆಳಭಾಗಕ್ಕೆ ಕಬ್ಬಿಣದ ಸರಳನ್ನು ಜೋಡಿಸಿರುತ್ತಾರೆ. ತಿದಿಯ ಮುಂದಿನ ಭಾಗಕ್ಕೆ ಕೊಳೆವೆಯಾಕಾರದ ಕಬ್ಬಿಣದ ಪೈಪನ್ನು ಹಾಕಿರುತ್ತಾರೆ. ತಿದಿಯ ಹಿಂಭಾಗಕ್ಕೆ ಒಂದು ಹಗ್ಗವನ್ನು ಕಟ್ಟಿ ಅದನ್ನು ಒಂದು ಉದ್ದವಾದ ಮರದ ಕೋಲಿಗೆ ಕಟ್ಟುತ್ತಾರೆ. ಕುಲುಮೆಯ ಮೇಲ್ಭಾಗಕ್ಕೆ ಬರುವಂತೆ ಕೋಲಿಗೆ ಸರಪಳಿಯನ್ನೂ ಕಟ್ಟುತ್ತಾರೆ. ಈ ಸರಪಳಿಯನ್ನು ಹಿಡಿದು ಮೇಲೆ ಕೆಳಗೆ ಎಳೆದಾಗ ಗಾಳಿಯು ಬರುತ್ತದೆ. ಆಗ ಕುಲುಮೆಯಲ್ಲಿ ಬೆಂಕಿ ಹೆಚ್ಚುತ್ತದೆ. ಸರಪಳಿಯಿಂದ ತಿದಿಯನ್ನು ಮೇಲಕ್ಕೆ ಎಳೆದಾಗ ಗಾಳಿಯು ಬರುತ್ತದೆ. ಕೆಳಕ್ಕೆ ಇಟ್ಟಾಗ ಗಾಳಿ ಬರುವುದು ನಿಲ್ಲುತ್ತದೆ. ತಿದಿಯು ವೀಣೆಯ ಆಕಾರದಲ್ಲಿದೆ. ಇತ್ತೀಚಿಗೆ ಟೈರ್ ಟೂಬ್‌ಗಳಿಂದ ತಿದಿಯನ್ನು ಬಿಗಿಯುತ್ತಾg"
ತೀಡೋಗಣೆ/ಬೇಳೆಗುಂಡು,"ಬೇಳೆ ಕಾಳುಗಳನ್ನು ಬೇಯಿಸಿದ ಬಳಿಕ ಅದನ್ನು ತೀಡುಗಣೆ ಬಳಸಿಕೊಂಡು ಒಂದಿಷ್ಟು ಮಸೆದು, ಜಜ್ಜಿ ಕೊಳ್ಳುತ್ತಾರೆ. ತುರ್ತಾಗಿ ಒಂದಿಷ್ಟು ಚಟ್ನಿ ಅರೆದುಕೊಳ್ಳುವುದಕ್ಕೂ ತೀಡುಗಣೆಯು ಬಳಕೆಯಾಗುತ್ತದೆ. ಇದರ ಗಾತ್ರದಲ್ಲಿ ವ್ಯತ್ಯಾಸಗಳಿವೆ. ಇದರ ಹಿಡಿಕೆಯು ಸುಮಾರು ಒಂದು ಅಡಿ ಉದ್ದವಿದ್ದು ಬುಡದಲ್ಲಿ ಸಣ್ಣ ಗಡ್ಡೆಯಂತಹ ರಚನೆ ಇರುತ್ತದೆ. ಗಡ್ಡೆಯು ಸುಮಾರು ಎರಡು ಇಂಚಿನಿಂದ ನಾಲ್ಕು ಇಂಚುಗಳ ವ್ಯಾಸವಿರುತ್ತದೆ. ಇದನ್ನು ಇಂಗಳಾರದ ಮರದಿಂದ ತಯಾರಿಸುತ್ತಾರೆ. ಇಂಗಳಾರ ಔಷಧಿ ಗುಣವುಳ್ಳ ಮರ."
ತುಪ್ಪದ ಕುಡಿಕೆ-ಚಟಿಗೆ,ತುಪ್ಪ ಹಾಕಿಡಲು ಬಳಸುವ ಮಣ್ಣಿನ ಸಾಧನ. ಇದು ಸುಮಾರು ಆರು ಇಂಚು ಎತ್ತರವಿದ್ದು ಮೇಲ್ಭಾಗದ ವ್ಯಾಸವು ಸುಮಾರು ನಾಲ್ಕು ಇಂಚು ಹೊಂದಿರುತ್ತದೆ. ಇದು ದೀರ್ಘಕಾಲದ ವರೆಗೂ ತುಪ್ಪ ಕೆಡದಂತೆ ಕಾಪಾಡುವ ಗುಣ ಹೊಂದಿದೆ ಎನ್ನುವುದು ಜನಪದರ ಅನುಭವ.
ತೂಕದ ಗುಂಡು,ಕಟ್ಟಡ ಕಟ್ಟುವಾಗ ಗೊಡೆಗಳಿಗೆ ಇಟ್ಟ ಕಲ್ಲು/ಇಟ್ಟಿಗೆಗಳ ಗುರುತ್ವಾಕರ್ಷಣ ನೆಲೆಯನ್ನು ಪರೀಕ್ಷಿಸಲು ಬಳಸುವ ಉಪಕರಣ. ಕಬ್ಬಿಣದ ಗುಂಡನ್ನು ಮೇಲಿಂದ ಕೆಳಗೆ ಇಳಿ ಬಿಡಲು ದಾರವನ್ನು ಕಟ್ಟಿರುತ್ತಾರೆ. ಗುಂಡು ಸುಮಾರು ಮೂರು ಇಂಚು ಉದ್ದವಿರುತ್ತದೆ. ಇದಕ್ಕೆ ಸುಮಾರು ಎರಡು ಮೀಟರ್ ಉದ್ದದ ದಾರವನ್ನು ಪೋಣಿಸಿದೆ. ದಾರದಲ್ಲಿ ಚೌಕಕಾರದ ಪುಟ್ಟ ಹಲಗೆ ಕೂಡ ಜೋಡಣೆಯಾಗಿದೆ. ಕಟ್ಟಡದ ಮೂಲೆಯನ್ನು ಅಳತೆ ಮಾಡುವಾಗ ಹಲಗೆ ತುಂಡನ್ನು ಕೈಯಲ್ಲಿ ಗೋಡೆಗೆ ಹಿಡಿದು ದಾರದಲ್ಲಿ ನೇತಾಡುವ ಗುಂಡನ್ನು ಇಳಿಬಿಟ್ಟು ಕಟ್ಟುತ್ತಿರುವ ಗೋಡೆಯು ಸರಿಯಾಗಿದೆಯೋ ಇಲ್ಲವೋ ಎಂದು ಪರೀಕ್ಷೆ ಮಾಡುವುದಕ್ಕೆ ಬಳಸುತ್ತಾರೆ. ಗುಂಡು ಸುಮಾರು ಎರಡನೂರ ಐವತ್ತು ಗ್ರಾಂ ತೂಕದ್ದಾಗಿದೆ. ಇದು ಗೋಲಾಕಾರವಿದಲ್ಲಿರುತ್ತದೆ.
